summary,description,priority_name,issuetype_name,project_key,project_category_name,summary_char_count,summary_word_count,description_char_count,description_word_count,has_description,labels_count,has_assignee,votes_votes,watches_watch_count,created,resolutiondate
Compilation error with guththila parser,Error while compiling with guththila parser from axis2 1.7.0 ( trunk ) ./configure --prefix=/usr/local/axis2c \ --disable-libxml2 \ --enable-guththila=yes \ --with-openssl=/usr/include/openssl \ --enable-tcp \ --enable-openssl \ --enable-tests=no WRAPPER_DIR is lost somewhere...,Trivial,Bug,AXIS2C,Axis,39,5,279,30,1,0,0,0.0,1.0,2016-07-16 17:03:05,2018-05-29 18:59:05
Fix KMSClientProvider for non-secure proxyuser use case,The issue was found after HADOOP-13988 by Hadoop-HDFS test (TestAclsEndToEnd). Sorry both Jenkins and I was not able to catch it. HADOOP-13988 fixed the issue for KMSClientProvider secure proxy user(token) use case. But the non-secure proxy user case should not be affected by the new logic. The ticket is open to fix it.,Major,Bug,HADOOP,Hadoop,55,7,321,53,1,0,1,0.0,3.0,2017-01-27 03:20:45,2017-01-27 05:43:50
Allow EngineConfigurationFactoryServlet to peek informations from servlet's init-param,"By default, EngineConfigurationFactoryServlet react to a ServletContext param. The ServletContext param contains only informations from the web-app level (we can use context-param elements). By the way, when we want to use multiples Axis Servlet in a simple WebApp, we cannot set a differente configuration for all of theses. A way to do this is to change the ServletContext param to a ServletConfig param. Because ServletConfig is at the servlet level and gice access to servlet's init-param(s) and to his facther ServletContext.",Unknown,Bug,AXIS,Axis,86,8,530,81,1,0,0,0.0,0.0,2003-11-26 00:35:02,2004-02-24 17:33:52
ItDataTypesTest and ItCreateTableDdlTest are flaky,"h3. Description & Root cause 1. ItDataTypesTest is flaky because previous ItCreateTableDdlTest tests failed to stop replicas on node stop: !Снимок экрана от 2023-04-06 10-39-32.png! {code:java} java.lang.AssertionError: There are replicas alive [replicas=[b86c60a8-4ea3-4592-abef-6438cfc4cdb2_part_21, b86c60a8-4ea3-4592-abef-6438cfc4cdb2_part_6, b86c60a8-4ea3-4592-abef-6438cfc4cdb2_part_13, b86c60a8-4ea3-4592-abef-6438cfc4cdb2_part_8, b86c60a8-4ea3-4592-abef-6438cfc4cdb2_part_9, b86c60a8-4ea3-4592-abef-6438cfc4cdb2_part_11]] at org.apache.ignite.internal.replicator.ReplicaManager.stop(ReplicaManager.java:341) at org.apache.ignite.internal.app.LifecycleManager.lambda$stopAllComponents$1(LifecycleManager.java:133) at java.base/java.util.Iterator.forEachRemaining(Iterator.java:133) at org.apache.ignite.internal.app.LifecycleManager.stopAllComponents(LifecycleManager.java:131) at org.apache.ignite.internal.app.LifecycleManager.stopNode(LifecycleManager.java:115){code} 2. The reason why we failed to stop replicas is the race between tablesToStopInCaseOfError cleanup and adding tables to tablesByIdVv. On TableManager stop, we stop and cleanup all table resources like replicas and raft nodes {code:java} public void stop() { ... Map<UUID, TableImpl> tables = tablesByIdVv.latest(); // 1* cleanUpTablesResources(tables); cleanUpTablesResources(tablesToStopInCaseOfError); ... }{code} where tablesToStopInCaseOfError is a sort of pending tables list which one is cleared on cfg storage revision update. tablesByIdVv *listens same storage revision update event* in order to publish tables related to the given revision or in other words make such tables accessible from tablesByIdVv.latest(); that one that is used in order to retrieve tables for cleanup on components stop (see // 1* above) {code:java} public TableManager( ... tablesByIdVv = new IncrementalVersionedValue<>(registry, HashMap::new); registry.accept(token -> { tablesToStopInCaseOfError.clear(); return completedFuture(null); }); {code} However inside IncrementalVersionedValue we have async storageRevision update processing {code:java} updaterFuture = updaterFuture.whenComplete((v, t) -> versionedValue.complete(causalityToken, localUpdaterFuture)); {code} As a result it's possible that we will clear tablesToStopInCaseOfError before publishing same revision tables to tablesByIdVv, so that we will miss that cleared tables in tablesByIdVv.latest() which is used in TableManager#stop. h3. Implementation Notes 1. First of all I've renamed tablesToStopInCaseOfError to pending tables, because they aren't only ...InCaseOfError. 2. I've also reworked tablesToStopInCaseOfError cleanup by substituting tablesToStopInCaseOfError.clear on revision change with {code:java} tablesByIdVv.get(causalityToken).thenAccept(ignored -> inBusyLock(busyLock, ()-> { pendingTables.remove(tblId); })); {code} meaning that we 2.1. remove specific table by id instead of whole map clear. 2.2. do that removal on corresponding table publishing wihtin tablesByIdVv. 3. That means that at some point right after the publishing but before removal it's possible to have same table both within tablesByIdVv and pendingTables thus in order not to stop same table twice (which is safe by the way because of idempotentce) I've substituted {code:java} cleanUpTablesResources(tables); cleanUpTablesResources(tablesToStopInCaseOfError); {code} with {code:java} Map<UUID, TableImpl> tablesToStop = Stream.concat(tablesByIdVv.latest().entrySet().stream(), pendingTables.entrySet().stream()). collect(Collectors.toMap(Map.Entry::getKey, Map.Entry::getValue, (v1, v2) -> v1)); cleanUpTablesResources(tablesToStop); {code}",Major,Bug,IGNITE,Ignite,50,5,3664,359,1,1,1,0.0,2.0,2023-04-05 22:18:45,2023-04-07 11:46:28
StreamIoHandler can flush garbled data.,"The OutputStream which StreamIoHandler provided doesn't perform defensive copy. Some wrapper OutputStreams and Writers (e.g. BufferedOutputStream and BufferedWriter) reuse their internal byte array, and causes the byte buffer to be modified before it's actually written out to the channel. There are two solutions: 1) Perform defensive copy in write(byte[], int, int): public void write( byte[] b, int off, int len ) throws IOException { write( ByteBuffer.wrap( (byte[]) b.clone(), off, len ) ); } 2) Wait for the WriteFuture for every operation. The former sounds better IMO.",Major,Bug,DIRMINA,MINA,39,5,576,86,1,0,1,0.0,0.0,2007-04-13 14:22:28,2007-04-13 14:34:24
[Automation] Failed to create volume from snapshot in KVM,"Steps to reproduce Step 1 : Create snapshot of ROOT volume Step 2 : Create volume from snapshot Failed to create volume with below null pointer exception 2013-11-01 08:19:18,229 DEBUG [agent.transport.Request] (Job-Executor-147:job-6486 = [ 14b465b9-0c03-4783-866f-1296b20c358b ]) Seq 1-894971116: Sending { Cmd , MgmtId: 29066118877352, via: 1, Ver: v1, Flags: 100001, [{""com.cloud.agent.api.routing.IpAssocCommand"":{""ipAddresses"":[{""accountId"":911,""publicIp"":""10.223.122.92"",""sourceNat"":true,""add"":true,""oneToOneNat"":false,""firstIP"":true,""vlanId"":""1221"",""vlanGateway"":""10.223.122.65"",""vlanNetmask"":""255.255.255.192"",""vifMacAddress"":""06:39:a6:00:00:55"",""networkRate"":200,""trafficType"":""Public""},{""accountId"":911,""publicIp"":""10.223.122.113"",""sourceNat"":false,""add"":true,""oneToOneNat"":false,""firstIP"":false,""vlanId"":""1221"",""vlanGateway"":""10.223.122.65"",""vlanNetmask"":""255.255.255.192"",""vifMacAddress"":""06:52:bb:00:00:55"",""networkRate"":200,""trafficType"":""Public""},{""accountId"":911,""publicIp"":""10.223.122.79"",""sourceNat"":false,""add"":true,""oneToOneNat"":false,""firstIP"":false,""vlanId"":""1221"",""vlanGateway"":""10.223.122.65"",""vlanNetmask"":""255.255.255.192"",""vifMacAddress"":""06:52:bb:00:00:55"",""networkRate"":200,""trafficType"":""Public""}],""accessDetails"":{""router.guest.ip"":""10.1.1.1"",""zone.network.type"":""Advanced"",""router.ip"":""169.254.0.81"",""router.name"":""r-1662-QA""},""wait"":0}}] } 2013-11-01 08:19:18,345 DEBUG [agent.transport.Request] (AgentManager-Handler-6:null) Seq 2-877402380: Processing: { Ans: , MgmtId: 29066118877352, via: 2, Ver: v1, Flags: 110, [{""com.cloud.agent.api.Answer"":{""result"":false,""details"":""java.lang.NullPointerException\n\tat com.cloud.hypervisor.kvm.storage.KVMStorageProcessor.createVolumeFromSnapshot(KVMStorageProcessor.java:1178)\n\tat com.cloud.storage.resource.StorageSubsystemCommandHandlerBase.execute(StorageSubsystemCommandHandlerBase.java:86)\n\tat com.cloud.storage.resource.StorageSubsystemCommandHandlerBase.handleStorageCommands(StorageSubsystemCommandHandlerBase.java:49)\n\tat com.cloud.hypervisor.kvm.resource.LibvirtComputingResource.executeRequest(LibvirtComputingResource.java:1286)\n\tat com.cloud.agent.Agent.processRequest(Agent.java:525)\n\tat com.cloud.agent.Agent$AgentRequestHandler.doTask(Agent.java:852)\n\tat com.cloud.utils.nio.Task.run(Task.java:83)\n\tat java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1110)\n\tat java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:603)\n\tat java.lang.Thread.run(Thread.java:679)\n"",""wait"":0}}] } 2013-11-01 08:19:18,345 DEBUG [agent.manager.AgentAttache] (AgentManager-Handler-6:null) Seq 2-877402380: No more commands found 2013-11-01 08:19:18,345 DEBUG [agent.transport.Request] (Job-Executor-120:job-6487 = [ f6fbb88e-1fe1-4507-9406-b8e62d9e1f70 ]) Seq 2-877402380: Received: { Ans: , MgmtId: 29066118877352, via: 2, Ver: v1, Flags: 110, { Answer } } 2013-11-01 08:19:18,350 WARN [storage.datastore.ObjectInDataStoreManagerImpl] (Job-Executor-120:job-6487 = [ f6fbb88e-1fe1-4507-9406-b8e62d9e1f70 ]) Unsupported data object (VOLUME, org.apache.cloudstack.storage.datastore.PrimaryDataStoreImpl@3918ddd), no need to delete from object in store ref table 2013-11-01 08:19:18,372 WARN [storage.datastore.ObjectInDataStoreManagerImpl] (Job-Executor-120:job-6487 = [ f6fbb88e-1fe1-4507-9406-b8e62d9e1f70 ]) Snapshot 38 is not found on image store 1, so no need to delete 2013-11-01 08:19:18,372 DEBUG [cloud.storage.VolumeManagerImpl] (Job-Executor-120:job-6487 = [ f6fbb88e-1fe1-4507-9406-b8e62d9e1f70 ]) Failed to create volume from snapshot:java.lang.NullPointerException at com.cloud.hypervisor.kvm.storage.KVMStorageProcessor.createVolumeFromSnapshot(KVMStorageProcessor.java:1178) at com.cloud.storage.resource.StorageSubsystemCommandHandlerBase.execute(StorageSubsystemCommandHandlerBase.java:86) at com.cloud.storage.resource.StorageSubsystemCommandHandlerBase.handleStorageCommands(StorageSubsystemCommandHandlerBase.java:49) at com.cloud.hypervisor.kvm.resource.LibvirtComputingResource.executeRequest(LibvirtComputingResource.java:1286) at com.cloud.agent.Agent.processRequest(Agent.java:525) at com.cloud.agent.Agent$AgentRequestHandler.doTask(Agent.java:852) at com.cloud.utils.nio.Task.run(Task.java:83) at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1110) at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:603) at java.lang.Thread.run(Thread.java:679) 2013-11-01 08:19:18,372 DEBUG [cloud.storage.VolumeManagerImpl] (Job-Executor-120:job-6487 = [ f6fbb88e-1fe1-4507-9406-b8e62d9e1f70 ]) Failed to create volume: 1784 com.cloud.utils.exception.CloudRuntimeException: Failed to create volume from snapshot:java.lang.NullPointerException at com.cloud.hypervisor.kvm.storage.KVMStorageProcessor.createVolumeFromSnapshot(KVMStorageProcessor.java:1178) at com.cloud.storage.resource.StorageSubsystemCommandHandlerBase.execute(StorageSubsystemCommandHandlerBase.java:86) at com.cloud.storage.resource.StorageSubsystemCommandHandlerBase.handleStorageCommands(StorageSubsystemCommandHandlerBase.java:49) at com.cloud.hypervisor.kvm.resource.LibvirtComputingResource.executeRequest(LibvirtComputingResource.java:1286) at com.cloud.agent.Agent.processRequest(Agent.java:525) at com.cloud.agent.Agent$AgentRequestHandler.doTask(Agent.java:852) at com.cloud.utils.nio.Task.run(Task.java:83) at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1110) at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:603) at java.lang.Thread.run(Thread.java:679) at com.cloud.storage.VolumeManagerImpl.createVolumeFromSnapshot(VolumeManagerImpl.java:559) at com.cloud.utils.component.ComponentInstantiationPostProcessor$InterceptorDispatcher.intercept(ComponentInstantiationPostProcessor.java:125) at com.cloud.storage.VolumeManagerImpl.createVolumeFromSnapshot(VolumeManagerImpl.java:604) at com.cloud.storage.VolumeManagerImpl.createVolume(VolumeManagerImpl.java:1057) at com.cloud.utils.component.ComponentInstantiationPostProcessor$InterceptorDispatcher.intercept(ComponentInstantiationPostProcessor.java:125) at com.cloud.storage.VolumeManagerImpl.createVolume(VolumeManagerImpl.java:183) at org.apache.cloudstack.api.command.user.volume.CreateVolumeCmd.execute(CreateVolumeCmd.java:189) at com.cloud.api.ApiDispatcher.dispatch(ApiDispatcher.java:158) at com.cloud.async.AsyncJobManagerImpl$1.run(AsyncJobManagerImpl.java:531) at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471) at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:334) at java.util.concurrent.FutureTask.run(FutureTask.java:166) at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1110) at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:603) at java.lang.Thread.run(Thread.java:679) 2013-11-01 08:19:18,398 DEBUG [cloud.async.AsyncJobManagerImpl] (Job-Executor-120:job-6487 = [ f6fbb88e-1fe1-4507-9406-b8e62d9e1f70 ]) Complete async job-6487 = [ f6fbb88e-1fe1-4507-9406-b8e62d9e1f70 ], jobStatus: 2, resultCode: 530, result: Error Code: 530 Error text: Failed to create a volume 2013-11-01 08:19:18,492 DEBUG [agent.transport.Request] (StatsCollector-2:null) Seq 1-894971115: Received: { Ans: , MgmtId: 29066118877352, via: 1, Ver: v1, Flags: 10, { GetVmStatsAnswer } }",Blocker,Bug,CLOUDSTACK,Cloudstack,57,9,7363,328,1,0,1,0.0,2.0,2013-11-01 16:23:29,2013-11-01 21:43:59
Derive whitelist tags from CSP,"When dynamically creating an {{iframe}}, the {{iframe}}'s {{src}} is never loaded. This worked without issues using 3.9.2. Example Code: {code:javascript} i = document.createElement(""iframe""); i.src = ""https://example.org""; document.body.appendChild(i); {code} Please note, that you have to extend the {{Content-Security-Policy}} headers to include {{https:}} to pass CSP restrictions. I have also created a sample project to reproduce the problem. You may find it at https://github.com/schmidt/cordova-ios-iframe-example",Minor,Improvement,CB,Cordova,30,5,521,62,1,0,0,0.0,3.0,2016-01-12 13:20:36,2019-11-29 13:46:24
(V2) Accept $format=atom for function imports which return entities,(V2) Accept $format=atom for function imports which return entities.,Minor,Bug,OLINGO,Olingo,67,9,68,9,1,0,1,0.0,0.0,2015-04-27 15:41:28,2015-04-29 15:28:07
Add spark3 to nexmark runs,,P2,Sub-task,BEAM,Beam,26,5,0,0,0,0,1,0.0,1.0,2021-09-17 09:56:40,2021-09-30 17:24:34
S3A directory committer commit job fails if _temporary directory created under dest,"The directory staging committer fails in commit job if any temporary files/dirs have been created. Spark work can create such a dir for placement of absolute files. This is because commitJob() looks for the dest dir existing, not containing non-hidden files. As the comment says, ""its kind of superfluous"". More specifically, it means jobs which would commit with the classic committer & overwrite=false will fail Proposed fix: remove the check",Major,Sub-task,HADOOP,Hadoop,83,12,444,70,1,0,1,0.0,3.0,2018-05-15 16:44:13,2018-05-17 20:09:42
Tree: Open/close nodes with keyboard not working.,"This bug was imported from another system and requires review from a project committer before some of the details can be marked public. For more information about historical bugs, please read: [Why are some bugs missing information?|https://bugs.adobe.com/confluence/display/ADOBE/Why+are+some+bugs+missing+information] You can request a review of this bug report by sending an e-mail to: [Request Public Review for This Bug|mailto:jira_support@adobe.com?subject=Bug%20Review%20Request%20-%20FLEXENT-83&amp;body=Please%20review%20this%20historical%20bug%20report%20and%20consider%20making%20additional%20information%20public.%20%20I%20understand%20that%20my%20request%20(including%20this%20e-mail)%20may%20be%20included%20as%20part%20of%20the%20public%20history%20in%20the%20bug%20comments.%0D%0A%0D%0AAdditional Information: ] Please be sure to include the bug number in your request.",Major,Bug,FLEX,Flex,49,7,885,70,1,0,1,0.0,0.0,2006-02-28 00:22:17,2006-03-22 01:42:18
Specified cube when querying by API,"Support specified cube when using query API. UseCase1: For CubeA has dim a,b,c,d ,segments 12.01-now，CubeB has dim b,c,e，segments 12.08-now， with same hive table and same measure. While querying ""select b,c,count(*) from db.table group by b,c; "" , will hit CubeB, so that result of 12.01-12.08 will disappear. UseCase2: For testing,build many cubes with different config, will need to switch disable|enable all the time. See discussion here: http://mail-archives.apache.org/mod_mbox/kylin-user/202001.mbox/%3c976A402F-3D7E-4B99-B87E-D6B39FF2F80B@yidian-inc.com%3e",Major,Improvement,KYLIN,Kylin,35,6,563,67,1,0,1,0.0,5.0,2019-12-23 13:00:10,2020-02-03 10:43:10
Xcode 4.5 - JSONKit static analyzer issues,See: https://github.com/johnezang/JSONKit/issues/90 and https://github.com/johnezang/JSONKit/issues/98,Minor,Bug,CB,Cordova,42,7,102,4,1,0,1,0.0,1.0,2012-09-21 22:05:52,2013-01-09 01:50:30
Update the ServiceMix extensions build at the Codehaus to version 3.0-SNAPSHOT and to use the latest ActiveMQ and ServiceMix jars,# Update the ServiceMix extensions build version from 2.1-SNAPSHOT to 3.0-SNAPSHOT # Update the ServiceMix extensions to make use of the new groupId: org.apache.servicemix # Update the ServiceMix extensions to make use of org.apache.activemq.Service instead of org.apache.activemq.service.Service,Major,Bug,SM,ServiceMix,129,20,296,37,1,0,1,0.0,0.0,2006-06-15 00:47:52,2006-06-15 03:30:49
check that everything compile and run fine with Java 8,Java 8 will be released shortly: we need a good support as soon as possible Some ASF Jenkins jobs are available to check and see results in a shared place: - [maven-plugins-ITs-m3.1.x-with-maven-plugin-jdk-1.8|https://builds.apache.org/view/M-R/view/Maven/job/maven-plugins-ITs-m3.1.x-with-maven-plugin-jdk-1.8/modules] there is a [Wiki page too with some problems tracked|https://cwiki.apache.org/confluence/display/MAVEN/Java+8+Upgrade],Major,Task,MNG,Maven,54,10,438,42,1,0,0,3.0,8.0,2013-12-15 01:10:32,2018-12-01 17:20:00
Add Python option to bootstrap,Currently the only way to build minifi with Python support is to enter the corresponding CMAKE command manually. Bootstrap script should provide an option to do so.,Minor,Improvement,MINIFICPP,NiFi,30,5,164,27,1,0,1,0.0,1.0,2019-02-11 14:44:19,2019-04-11 18:40:22
Resolve Oracle JET support,"Oracle JET apps are created on the command line via ojet-cli command line interface. The only feature that is relevant to NetBeans is to have editor support for code completion, templates, etc, all other features need to be removed, e.g., in the Project Properties dialog.",Major,Sub-task,NETBEANS,NetBeans,26,4,272,45,1,0,0,0.0,2.0,2019-06-18 11:20:57,2020-09-13 19:43:12
"regression failing, assert in UnixNetVConnection",configure --enable-debug traffic_server -R1 .... FATAL: UnixNetVConnection.cc:671: failed assert `!closed` proxy/traffic_server - STACK TRACE: proxy/traffic_server(ink_fatal_va+0xad)[0x72db64] proxy/traffic_server(ink_fatal+0xe1)[0x72dd35] proxy/traffic_server(_ink_assert+0xb4)[0x72c4c4] proxy/traffic_server(_ZN18UnixNetVConnection10do_io_readEP12ContinuationiP9MIOBuffer+0x39)[0x6fdabd] proxy/traffic_server(_ZN11VConnection5do_ioEiP12ContinuationiP9MIOBufferi+0x54)[0x4d6d64] proxy/traffic_server(INKVConnRead+0x160)[0x4e3c88] proxy/traffic_server[0x4f7b89] proxy/traffic_server(_ZN15INKContInternal12handle_eventEiPv+0xa0)[0x4e0f90] proxy/traffic_server(_ZN12Continuation11handleEventEiPv+0x6f)[0x4d58a7] proxy/traffic_server(_ZN18UnixNetVConnection11acceptEventEiP5Event+0x5a7)[0x7024f1] proxy/traffic_server(_ZN12Continuation11handleEventEiPv+0x6f)[0x4d58a7] proxy/traffic_server(_Z10net_acceptP9NetAcceptPvb+0x385)[0x6f6e74] proxy/traffic_server(_ZN9NetAccept11acceptEventEiPv+0x248)[0x6f6076] proxy/traffic_server(_ZN12Continuation11handleEventEiPv+0x6f)[0x4d58a7] proxy/traffic_server(_ZN7EThread13process_eventEP5Eventi+0x12b)[0x719d83] proxy/traffic_server(_ZN7EThread7executeEv+0x207)[0x71a105] proxy/traffic_server[0x719642] /lib64/libpthread.so.0[0x3bc2206407] /lib64/libc.so.6(clone+0x6d)[0x3bc16d4b0d] The problem is caused by the iocore/net code leaving the UnixNetVConnection in a bad state (closed) when releasing it to the free list.,Major,Bug,TS,Traffic Server,48,5,1454,56,1,0,0,0.0,0.0,2009-12-07 02:02:13,2009-12-08 16:33:50
"HelpFormatter.printHelp(String cmdLineSyntax, String header, Options options, String footer) throws exception if footer contains CR LF","If String footer contains windows new line, printHelp throws exception. If it contains only LF line endings, it works fine on Linux and Windows platforms.",Major,Bug,CLI,Commons,134,15,154,25,1,0,0,0.0,0.0,2005-12-20 21:55:21,2008-09-16 00:38:20
"Disable text extraction whne using type3 fonts (was: Text extracted from a TeX-created PDF file is unintelligible, but not of the form a1a2a3...)","Text extracted from some PDF files is completely unintelligible, presumably depending on the software used to create the file. In this example, a combination of dvips(k) 5.95a Copyright 2005 Radical Eye Software (to create PostScript) and Acrobat Distiller 8.1.0 (Windows) (to create the PDF file) was used. The text extracted looks like CFCTCXCTD6D7D8D6CPH3B9C1D2D7D8CXD8D9D8 CUH0D6 BTD2CVCTDBCPD2CSD8CT BTD2CPD0DDD7CXD7 D9D2CS CBD8D3CRCWCPD7D8CXCZ CXD1 BYD3D6D7CRCWD9D2CVD7DACTD6CQD9D2CS BUCTD6D0CXD2 CTBACEBA C Only rarely some bits and pieces of recognisable formulas are interspersed. The text copied using either Acrobat Reader or Preview looks different, but is similarly unintelligible.",Minor,Improvement,PDFBOX,PDFBox,145,23,694,89,1,0,0,0.0,1.0,2010-05-16 14:27:34,2014-10-11 03:20:42
